table,position,source_header,dest_header,datatype,valuetype,has_codes,start,width,size,summary,description
subgroup06,1,subgrp,subgrp,int,,False,,,,,SubGrp
subgroup06,2,rpttype,rpttype,int,,False,,,,,RptType
subgroup06,3,linenum,linenum,int,,False,,,,,LineNum
subgroup06,4,reporttype,reporttype,str,,False,,,,,ReportType
subgroup06,5,subgroup,subgroup,str,,False,,,,,SubGroup
subgroup06,6,line_text,line_text,str,,False,,,,,line_text
physfit01,1,level,level,int,,False,,,,,Level
physfit01,2,subgrp,subgrp,int,,False,,,,,SubGrp
physfit01,3,rpttype,rpttype,int,,False,,,,,RptType
physfit01,4,line_num,line_num,int,,False,,,,,line_num
physfit01,5,ccode,ccode,int,,False,,,,,Ccode
physfit01,6,dcode,dcode,int,,False,,,,,Dcode
physfit01,7,scode,scode,int,,False,,,,,Scode
physfit01,8,cds_code,cds_code,int,,False,,,,,cds_code
physfit01,9,gr05_stu,gr05_stu,str,,False,,,,,Gr05_Stu
physfit01,10,gr5pctin,gr5pctin,str,,False,,,,,Gr5PctIn
physfit01,11,gr5pctnotin,gr5pctnotin,str,,False,,,,,Gr5PctNotIn
physfit01,12,gr07_stu,gr07_stu,int,,True,,,,,Gr07_Stu
physfit01,13,gr7pctin,gr7pctin,str,,False,,,,,Gr7PctIn
physfit01,14,gr7pctnotin,gr7pctnotin,str,,False,,,,,Gr7PctNotIn
physfit01,15,gr09_stu,gr09_stu,int,,True,,,,,Gr09_Stu
physfit01,16,gr9pctin,gr9pctin,float,,True,,,,,Gr9PctIn
physfit01,17,gr9pctnotin,gr9pctnotin,float,,True,,,,,Gr9PctNotIn
subgroup13,1,level_number,level_number,int,,False,,,,,Level_Number
subgroup13,2,report_number,report_number,int,,False,,,,,Report_Number
subgroup13,3,table_number,table_number,int,,False,,,,,Table_Number
subgroup13,4,line_number,line_number,int,,False,,,,,Line_Number
subgroup13,5,line_text,line_text,str,,False,,,,,Line_Text
subgroup13,6,table_type,table_type,str,,False,,,,,Table_Type
subgroup13,7,subgroup,subgroup,str,,False,,,,,Subgroup
physfit11,1,id,id,int,,False,,,,,ID
physfit11,2,level_number,level_number,int,,False,,,,,Level_Number
physfit11,3,report_number,report_number,int,,False,,,,,Report_Number
physfit11,4,table_number,table_number,int,,False,,,,,Table_Number
physfit11,5,line_number,line_number,int,,False,,,,,Line_Number
physfit11,6,co,co,int,,False,,,,,CO
physfit11,7,dist,dist,int,,False,,,,,DIST
physfit11,8,schl,schl,int,,False,,,,,SCHL
physfit11,9,line_text,line_text,str,,False,,,,,Line_Text
physfit11,10,nostud5,nostud5,int,,False,,,,,NoStud5
physfit11,11,nohfz5,nohfz5,str,,False,,,,,NoHFZ5
physfit11,12,perc5a,perc5a,str,,False,,,,,Perc5a
