county_fips,cmsa_name,county,mpo_region,mpo_region_code,chis_region_code,chis_region_name,chis_county_code,chis_county
6001,SF-Oakland-San Jose,Alameda,Bay Area,1,3,Bay Area,22,Alameda
6003,Non-CMSA,Alpine,Central/Southeast Sierra,3,9,Southeast Sierra,19,Tu/Ca/Am/In/Ma/Mo/Alp
6005,Non-CMSA,Amador,Central/Southeast Sierra,3,8,North Sierra,19,Tu/Ca/Am/In/Ma/Mo/Alp
6007,Non-CMSA,Butte,Butte,2,4,Northern Central Valley,11,Butte
6009,Non-CMSA,Calaveras,Central/Southeast Sierra,3,8,North Sierra,19,Tu/Ca/Am/In/Ma/Mo/Alp
6011,Non-CMSA,Colusa,Northern Sacramento Valley,7,4,Northern Central Valley,16,Tehama/Glenn/Colusa
6013,SF-Oakland-San Jose,Contra Costa,Bay Area,1,3,Bay Area,23,Contra Costa
6015,Non-CMSA,Del Norte,North Coast,5,2,North Coast,13,Humboldt/Del Norte
6017,Sacramento-Yolo,El Dorado,Sacramento Area,8,8,North Sierra,34,El Dorado
6019,Non-CMSA,Fresno,San Joaquin Valley,10,6,Southern Central Valley,41,Fresno
6021,Non-CMSA,Glenn,Northern Sacramento Valley,7,4,Northern Central Valley,16,Tehama/Glenn/Colusa
6023,Non-CMSA,Humboldt,North Coast,5,2,North Coast,13,Humboldt/Del Norte
6025,Non-CMSA,Imperial,Southern California,14,11,Desert,75,Imperial
6027,Non-CMSA,Inyo,Central/Southeast Sierra,3,9,Southeast Sierra,19,Tu/Ca/Am/In/Ma/Mo/Alp
6029,Non-CMSA,Kern,San Joaquin Valley,10,6,Southern Central Valley,42,Kern
6031,Non-CMSA,Kings,San Joaquin Valley,10,6,Southern Central Valley,47,Kings
6033,Non-CMSA,Lake,North Coast,5,2,North Coast,15,Mendocino/Lake
6035,Non-CMSA,Lassen,Northeast Sierra,6,1,North,14,Sis./Las./Tri./Mod.
6037,LA-Riverside-Orange,Los Angeles,Southern California,14,10,South Coast,61,Los Angeles
6039,Non-CMSA,Madera,San Joaquin Valley,10,4,Northern Central Valley,48,Madera
6041,SF-Oakland-San Jose,Marin,Bay Area,1,3,Bay Area,28,Marin
6043,Non-CMSA,Mariposa,Central/Southeast Sierra,3,8,North Sierra,19,Tu/Ca/Am/In/Ma/Mo/Alp
6045,Non-CMSA,Mendocino,North Coast,5,2,North Coast,15,Mendocino/Lake
6047,Non-CMSA,Merced,San Joaquin Valley,10,4,Northern Central Valley,46,Merced
