Declare,metatab-latest
Description,Percent of residents mode of transportation to work
Identifier,756b3896-3a71-4106-bede-b78f80805bb0
Name,cdph.ca.gov-communiting-1
Name.Dataset,communiting
Name.Version,1
Name.Origin,cdph.ca.gov
Modified,2017-04-07T00:54:07
Issued,2017-04-07T00:54:07
Distribution,http://s3.amazonaws.com/library.metatab.org/cdph.ca.gov-communiting-1.xlsx
Distribution,http://s3.amazonaws.com/library.metatab.org/cdph.ca.gov-communiting-1.zip
Distribution,http://s3.amazonaws.com/library.metatab.org/cdph.ca.gov-communiting-1/metadata.csv
Distribution,http://s3.amazonaws.com/library.metatab.org/cdph.ca.gov-communiting-1.csv

Section,Resources,Name,Schema,Space,Time,Description
Datafile,http://www.cdph.ca.gov/programs/Documents/HCI_Transportation2Work_42_CT_PL_CO_RE_ST_12-12-13-revised.zip#HCI_Transportation2Work_42_CT_PL_CO_RE_ST_12-12-13-revised.xlsx;mode_of_transportation,communiting,communiting,,,Percent of residents mode of transportation to work

Section,Documentation,Title,Schema,Description
Datadictionary,http://www.cdph.ca.gov/programs/Documents/HCI_Transportation2Work_42_CT_PL_CO_RE_ST_12-12-13-revised.zip#HCI_Transportation2Work_42_CT_PL_CO_RE_ST_12-12-13-revised.xlsx;DataDictionary,communiting-dd,communiting,Percent of residents mode of transportation to work
Documentation,http://www.cdph.ca.gov/programs/Documents/HCI_Transportation2Work_42_CT_PL_CO_RE_ST_12-12-13-revised.zip#HCI_Transportation2Work_42_CT_PL_CO_RE_ST_12-12-13-revised.xlsx;DataFilteringInstructions,communiting-filtering,communiting,Percent of residents mode of transportation to work
Documentation,http://www.cdph.ca.gov/programs/Documents/HCI_Transportation_to_work_42_Narrative_and_examples_10-2-13.pdf,communiting,communiting,Percent of residents mode of transportation to work

Section,Schema,DataType,Description,Widthformat,Coding
Table,communiting,,,,
Table.Column,ind_id,number,Indicator ID,3,556
Table.Column,ind_definition,text,Definition of indicator in plain language,255,Free text
Table.Column,reportyear,text,Year that the indicator was reported,9,"2000,2005-2007, 2008-2010, 2006-2010"
Table.Column,race_eth_code,integer,numeric code for a race/ethnicity group,1,1=American Indian or Alaska Native; 2=Asian; 3=Black or African American; 4=Hispanic or Latino; 5=Native Hawaiian or Other Pacific Islander (NHOPI); 6=White;7= Multiple; 8=Other;9=Total
Table.Column,race_eth_name,text,Name of race/ethnic group,9,AIAN; Asian; AfricanAm; Latino; NHOPI; White; Multiple; Other; Total
Table.Column,geotype,text,Type of geographic unit,2,PL;Place; CO;County; RE; Region ST;State
Table.Column,geotypevalue,number,Value of geographic unit,single prec.,"FIPS ID; place code, CT code, zip code, region id"
Table.Column,geoname,text,Name of geographic unit,37,"place, county, region name"
Table.Column,county_name,text,Name of county that geotype is in,25,
Table.Column,county_fips,text,FIPS code of county that geotype is in,5,2-digit census state code (06) plus 3-digit census county code
Table.Column,region_name,text,MPO-based region name; see MPO_County list tab,26,
Table.Column,region_code,text,MPO-based region code; see MPO_County list tab,2,01=Bay Area; 02=Butte; 03=Central/Southeast Sierra; 04=Monterey Bay; 05=North Coast; 06=Northeast Sierra; 07=Northern Sacramento Valley; 08=Sacramento Area; 09=San Diego; 10=San Joaquin Valley; 11=San Luis Obispo; 12=Santa Barbara; 13=Shasta; 14=Southern California
Table.Column,mode,text,Mode of transportation short name,10,
Table.Column,mode_name,text,Mode of transportation long name,26,Name used by the U.S. Census Bureau
Table.Column,pop_total,number,denominator,double prec.,
Table.Column,pop_mode,number,numerator,double prec.,
Table.Column,percent,number,"Percent of Residents Mode of Transportation to Work,  Population Aged 16 Years and Older",double prec.,
Table.Column,LL_95CI_percent,number,Lower limit of 95% confidence interval,double prec.,
Table.Column,UL_95CI_percent,number,Lower limit of 95% confidence interval,double prec.,
Table.Column,percent_se,number,Standard error of the percent mode of transportation,double prec.,
Table.Column,percent_rse,number,Relative standard error (se/value) expressed as a percent,double prec.,
Table.Column,CA_decile,integer,California decile,integer,"CA_decile' groups California places into 10 groups (or deciles) each, for total population. Equal values or 'ties' are assigned the mean decile rank. For example, in a database of 100 records where 70 records equal 0, 0 values span from the 1st to 7th deciles (70% of all data records)."
Table.Column,CA_RR,number,Rate ratio to California rate,double prec.,
Table.Column,version,text,Date/time stamp of version of data,,mm/DD/CCYY hh:mm:ss
