Declare,metatab-latest
Description,Unsafe Drinking Water: Percent of the population served by Community Water Systems not meeting Safe Drinking Water Act  regulations
Identifier,205de04e-50fd-4b4a-b94f-ee79d4a39a19
Name,cdph.ca.gov-drink_water-1
Name.Origin,cdph.ca.gov
Name.Dataset,drink_water
Name.Version,1
Modified,2017-04-07T03:58:25
Issued,2017-04-07T03:58:25
Distribution,http://s3.amazonaws.com/library.metatab.org/cdph.ca.gov-drink_water-1.xlsx
Distribution,http://s3.amazonaws.com/library.metatab.org/cdph.ca.gov-drink_water-1.zip
Distribution,http://s3.amazonaws.com/library.metatab.org/cdph.ca.gov-drink_water-1/metadata.csv
Distribution,http://s3.amazonaws.com/library.metatab.org/cdph.ca.gov-drink_water-1.csv

Section,Resources,Name,Schema,Space,Time,Description
Datafile,http://www.cdph.ca.gov/programs/Documents/HCI_DrinkingWater_CA_RE_CO_CD_PL_CT-A-N-6-19-14.zip#HCI_DrinkingWater_CA_RE_CO_CD_PL_CT-A-N-6-19-14.xlsx;drinking_water,drink_water-ballance,drink_water,ballance,,Unsafe Drinking Water: Percent of the population served by Community Water Systems not meeting Safe Drinking Water Act  regulations
Datafile,http://www.cdph.ca.gov/programs/Documents/HCI_DrinkingWater_CA_RE_CO_CD_PL_CT-O-Y-6-19-14.zip#HCI_DrinkingWater_CA_RE_CO_CD_PL_CT-O-Y-6-19-14.xlsx;drinking_water,drink_water-orange_yuba,drink_water,orange_yuba,,Unsafe Drinking Water: Percent of the population served by Community Water Systems not meeting Safe Drinking Water Act  regulations

Section,Documentation,Title,Schema,Description,,
Datadictionary,http://www.cdph.ca.gov/programs/Documents/HCI_DrinkingWater_CA_RE_CO_CD_PL_CT-A-N-6-19-14.zip#HCI_DrinkingWater_CA_RE_CO_CD_PL_CT-A-N-6-19-14.xlsx;DataDictionary,drink_water-ballance-dd,drink_water,Unsafe Drinking Water: Percent of the population served by Community Water Systems not meeting Safe Drinking Water Act  regulations,,
Datadictionary,http://www.cdph.ca.gov/programs/Documents/HCI_DrinkingWater_CA_RE_CO_CD_PL_CT-O-Y-6-19-14.zip#HCI_DrinkingWater_CA_RE_CO_CD_PL_CT-O-Y-6-19-14.xlsx;DataDictionary,drink_water-orange_yuba-dd,drink_water,Unsafe Drinking Water: Percent of the population served by Community Water Systems not meeting Safe Drinking Water Act  regulations,,
Documentation,http://www.cdph.ca.gov/programs/Documents/HCI_DrinkingWater_CA_RE_CO_CD_PL_CT-A-N-6-19-14.zip#HCI_DrinkingWater_CA_RE_CO_CD_PL_CT-A-N-6-19-14.xlsx;DataFilteringInstructions,drink_water-ballance-filtering,drink_water,Unsafe Drinking Water: Percent of the population served by Community Water Systems not meeting Safe Drinking Water Act  regulations,,
Documentation,http://www.cdph.ca.gov/programs/Documents/HCI_DrinkingWater_CA_RE_CO_CD_PL_CT-O-Y-6-19-14.zip#HCI_DrinkingWater_CA_RE_CO_CD_PL_CT-O-Y-6-19-14.xlsx;DataFilteringInstructions,drink_water-orange_yuba-filtering,drink_water,Unsafe Drinking Water: Percent of the population served by Community Water Systems not meeting Safe Drinking Water Act  regulations,,
Documentation,http://www.cdph.ca.gov/programs/Documents/HCI_DrinkingWater_426_Narrative_and_examples-7-15-14.pdf,drink_water,drink_water,Unsafe Drinking Water: Percent of the population served by Community Water Systems not meeting Safe Drinking Water Act  regulations,,
Documentation,http://www.cdph.ca.gov/programs/Documents/HCI_DrinkingWater_426_Narrative_and_examples-7-15-14.pdf,drink_water,drink_water,Unsafe Drinking Water: Percent of the population served by Community Water Systems not meeting Safe Drinking Water Act  regulations,,

Section,Schema,DataType,Description,Widthformat,Coding,
Table,drink_water,,,,,
Table.Column,ind_id,number,Indicator ID,3,556,
Table.Column,ind_definition,text,Definition of indicator in plain language,255,Free text,
Table.Column,reportyear,text,Year that the indicator was reported,9,2008-2012,
Table.Column,race_eth_code,integer,numeric code for a race/ethnicity group,1,1=American Indian or Alaska Native; 2=Asian; 3=Black or African American; 4=Hispanic or Latino; 5=Native Hawaiian or Other Pacific Islander (NHOPI); 6=White;7= Multiple; 8=Other;9=Total,
Table.Column,race_eth_name,text,Name of race/ethnic group,9,AIAN; Asian; AfricanAm; Latino; NHOPI; White; Multiple; Other; Total,
Table.Column,geotype,text,Type of geographic unit,2,CT; Census Tract; PL;Place; CD; County Division; CO;County; RE; Region CA;State,
Table.Column,geotypevalue,number,Value of geographic unit,single prec.,"FIPS ID; place code, CT code, zip code, region id, CD id",
Table.Column,geoname,text,Name of geographic unit,37,"Census tract, place, county division, county, region name",
Table.Column,county_name,text,Name of county that geotype is in,25,,
Table.Column,county_fips,text,FIPS code of county that geotype is in,5,2-digit census state code (06) plus 3-digit census county code,
Table.Column,region_name,text,MPO-based region name; see MPO_County list tab,26,,
Table.Column,region_code,text,MPO-based region code; see MPO_County list tab,2,01=Bay Area; 02=Butte; 03=Central/Southeast Sierra; 04=Monterey Bay; 05=North Coast; 06=Northeast Sierra; 07=Northern Sacramento Valley; 08=Sacramento Area; 09=San Diego; 10=San Joaquin Valley; 11=San Luis Obispo; 12=Santa Barbara; 13=Shasta; 14=Southern California,
Table.Column,category,text,type of violation,8,"arsenic = MCL arsenic violations, nitrates = MCL nitrates violations, other=other MCL violations, tcrb=total coliform rule-bacteriologic MCL violations, total=all types of violations",
Table.Column,numerator,number,Number of people served by a community water system with at least one MLC/TT violation in the period 2008-2012,double prec.,,
Table.Column,denominator,number,Number of people served by community water systems,double prec.,,
Table.Column,percent,number,Numerator/denominator*100,double prec.,,
Table.Column,ll_95ci,number,Lower limit of 95% confidence interval,double prec.,,
Table.Column,ul_95ci,number,Lower limit of 95% confidence interval,double prec.,,
Table.Column,se,number,Standard error,double prec.,,
Table.Column,rse,number,Relative standard error,double prec.,,
Table.Column,ca_decile,integer,California decile,integer,"CA_decile' groups California places into 10 groups (or deciles) each, for total population. Equal values or 'ties' are assigned the mean decile rank. For example, in a database of 100 records where 70 records equal 0, 0 values span from the 1st to 7th deciles (70% of all data records).",
Table.Column,ca_rr,number,Rate ratio to California rate,double prec.,,
