"Facility Name",,"Address","City","County","Zip","Telephone"
"Oak Hill Residential Care I",13,"612 Tranquility Glen","Escondido","San Diego",92027,"(760) 743-8843"
"Fredericka Manor",560,"183 Third Ave.","Chula Vista","San Diego",91910,"(619) 422-2686"
"San Dimas Retirement Center",343,"834 West Arrow Highway","San Dimas","Los Angeles",91773,"(909) 599-8441"
"Kingsley Manor",299,"1055 North Kingsley Dr.","Los Angeles","Los Angeles",90029,"(323) 661-1128"
"Palmcrest Grand Residence",262,"3501 Cedar Ave.","Long Beach","Los Angeles",90807,"(562) 595-4551"
"Downey Retirement Center",252,"11500 Dolan Ave.","Downey","Los Angeles",90241,"(562) 869-2416"
"Seaside Terrace Retirement",250,"9925 La Alameda Ave.","Fountain Valley","Orange",92708,"(714) 962-5531"
"Abria Del Cielo",240,"1589 N. Waterman Ave.","San Bernardino","San Bernardino",92404,"(909) 884-4757"
"Crofton Manor Inn",213,"1950 E. 5th St.","Long Beach","Los Angeles",90802,"(562) 437-0093"
"Glen Park at Long Beach",208,"1046 E. 4th St.","Long Beach","Los Angeles",90802,"(562) 732-7468"
"Jasmine Terrace at El Molino",206,"245 S El Molino Ave.","Pasadena","Los Angeles",91101,"(626) 578-0460"
"California Villa of Van Nuys *",200,"6728 Sepulveda Blvd.","Van Nuys","Los Angeles",91411,"(818) 781-6565"
"Emerald City Assisted Living",199,"205 E Los Feliz Rd.","Glendale","Los Angeles",91205,"(818) 241-2273"
"Leisure Vale Retirement Hotel",199,"413 E Cypress","Glendale","Los Angeles",91205,"(818) 244-2323"
"La Palma Royale",199,"525 W. La Palma Ave.","Anaheim","Orange",92801,"(714) 991-3242"
"Regent Villa Retirement Home
Inc.",188,"201 W. Wardlow Road","Long Beach","Los Angeles",90807,"(562) 595-6529"
"Broadview Residential Care
Center",180,"535 West Broadway","Glendale","Los Angeles",91204,"(818) 246-4951"
"Beverly Hills Loving Care",176,"1019 S Wooster St.","Los Angeles","Los Angeles",90035,"(310) 652-1323"
"Cedars Assisted Living",175,"17300 Roscoe Blvd.","Northridge","Los Angeles",91325,"(818) 344-2042"
"Westchester Villa",174,"220 W. Manchester Blvd.","Inglewood","Los Angeles",90301,"(310) 673-1093"
"Nazareth Park Place, Inc.",160,"1922 Morse Ave.","Sacramento","Sacramento",95825,"(916) 482-7745"
"Nazareth House",158,"3333 Manning Ave.","Los Angeles","Los Angeles",90064,"(310) 839-2361"
"Ambassador Gardens",156,"7324 Canby Ave.","Reseda","Los Angeles",91335,"(818) 705-3404"
"Country Inn of Downey",150,"11111 Myrtle St.","Downey","Los Angeles",90241,"(562) 869-2401"
"Golden Haven",150,"2324 Lever Blvd.","Stockton","San Joaquin",95206,"(209) 464-4743"
"Arcadia Retirement Village",149,"607 West Duarte Rd.","Arcadia","Los Angeles",91007,"(626) 447-6070"
"Sky Park Gardens",144,"5510 Sky Parkway","Sacramento","Sacramento",95823,"(916) 422-5650"
"Pacifica Senior Living",143,"1351 E. Washington Ave.","Escondido","San Diego",92027,"(760) 741-3055"
"Elim Silvertown",142,"1126 Westmoreland Ave.","Los Angeles","Los Angeles",90006,"(213) 736-7777"
"Country Villa Terrace Assisted
Living Center *",136,"6050 W. Pico Blvd.","Los Angeles","Los Angeles",90035,"(323) 653-5565"
"Eskaton FountainWood Lodge",136,"8773 Oak Ave.","Orangevale","Sacramento",95662,"(916) 988-2200"
"Rosecrans Villa Inc.",135,"14110 Cordary Ave.","Hawthorne","Los Angeles",90250,"(310) 675-9163"
"Pacifica Royale Assisted Living",132,"15022 Pacific St.","Midway City","Orange",92655,"(714) 892-4446"
"Ararat Home of Los Angeles",130,"15105 Mission Hills Rd.","Mission Hills","Los Angeles",91345,"(818) 365-3000"
"Westminster Villa",125,"13881 Dawson St.","Garden Grove","Orange",92843,"(714) 534-7880"
"Corona Residential Care Center",125,"1400 Circle City Dr.","Corona","Riverside",92879,"(951) 735-0252"
"Saint Francis Senior Residence",121,"6254 66th Ave.","Sacramento","Sacramento",95823,"(916) 393-2324"
"Home for Jewish Parents",120,"4000 Camino Tassahara","Danville","Contra Costa",94506,"(925) 648-2800"
"Arcadian Retirement",120,"752 West Duarte Rd.","Arcadia","Los Angeles",91007,"(626) 445-7981"
"Glen Park West Retirement
Community",120,"1220 S. Mariposa St.","Glendale","Los Angeles",91205,"(818) 242-9000"
"Hacienda Grande Senior Assisted
Living",120,"1740 Grand Ave.","Long Beach","Los Angeles",90804,"(562) 597-7753"
"Hollywood Royale Gardens",120,"6054 Franklin Ave.","Los Angeles","Los Angeles",90028,"(323) 466-2411"
"Sunny Hills Assisted Living",120,"8717 W. Olympic Blvd.","Los Angeles","Los Angeles",90035,"(310) 659-4301"
"Vista Montana Senior Living",120,"155 N. Girard St.","Hemet","Riverside",92544,"(951) 658-2274"
"Twilight Haven",116,"1717 South Winery Ave.","Fresno","Fresno",93727,"(559) 251-8417"
