"facility_id","address","matched","quality","matched address","lat-lon","tiger_line_id","side_of_street"
"374603745","11178 DEL DIABLO WAY, SAN DIEGO, CA, 92129","Match","Exact","11178 DEL DIABLO WAY, SAN DIEGO, CA, 92129","-117.08806,32.987503","195316130","L"
"374603743","17109 BOTERO DRIVE, SAN DIEGO, CA, 92127","Match","Exact","17109 BOTERO DR, SAN DIEGO, CA, 92127","-117.082924,33.025818","195315211","R"
"374601609","6396 LAKE DECATUR AVENUE, SAN DIEGO, CA, 92119","Match","Exact","6396 LAKE DECATUR AVE, SAN DIEGO, CA, 92119","-117.02607,32.79756","195325402","L"
"374601909","10265 SALUDA AVE, SAN DIEGO, CA, 92126","Match","Exact","10265 SALUDA AVE, SAN DIEGO, CA, 92126","-117.14281,32.90464","195318842","R"
"374603303","10166 LONE DOVE STREET, SAN DIEGO, CA, 92127","Match","Exact","10166 LONE DOVE ST, SAN DIEGO, CA, 92127","-117.11413,33.00912","612883592","L"
"374602566","8488 PARKBROOK STREET, SAN DIEGO, CA, 92114","Match","Exact","8488 PARKBROOK ST, SAN DIEGO, CA, 92114","-117.021645,32.70117","195361315","L"
"372004506","2091 HANFORD DRIVE, SAN DIEGO, CA, 92111","Match","Exact","2091 HANFORD DR, SAN DIEGO, CA, 92111","-117.16422,32.78284","195306613","R"
"374600356","7930 WESTMORE ROAD, SAN DIEGO, CA, 92126","Match","Exact","7930 WESTMORE RD, SAN DIEGO, CA, 92126","-117.15188,32.917374","195300956","L"
"374603208","8536 MENKAR ROAD, SAN DIEGO, CA, 92126","Match","Exact","8536 MENKAR RD, SAN DIEGO, CA, 92126","-117.14024,32.933517","195318158","L"
"374603600","POMERADO RD, SAN DIEGO, CA, 92131","No_Match",,,,,
"374602158","3511 SPARLING ST, SAN DIEGO, CA, 92115","Match","Exact","3511 SPARLING ST, SAN DIEGO, CA, 92115","-117.05837,32.74414","195351247","R"
"374603405","4706 LEATHERS STREET, SAN DIEGO, CA, 92117","Match","Exact","4706 LEATHERS ST, SAN DIEGO, CA, 92117","-117.225815,32.8318","195301794","L"
"374602745","10163 EMBASSY WAY, SAN DIEGO, CA, 92126","Match","Exact","10163 EMBASSY WAY, SAN DIEGO, CA, 92126","-117.14794,32.90326","639047542","R"
"374602747","2361 MONTCLIFF ROAD, SAN DIEGO, CA, 92139","Match","Exact","2361 MONTCLIFF RD, SAN DIEGO, CA, 92139","-117.032684,32.684254","195361487","L"
"372004900","3586 CHASEWOOD DRIVE, SAN DIEGO, CA, 92111","Match","Exact","3586 CHASEWOOD DR, SAN DIEGO, CA, 92111","-117.172035,32.80939","195305573","L"
"374602940","566 PARKWOOD DRIVE, SAN DIEGO, CA, 92139","Match","Exact","566 PARKWOOD DR, SAN DIEGO, CA, 92139","-117.03149,32.69171","195361080","R"
"374602369","3223 DUKE STREET, SAN DIEGO, CA, 92110","Match","Exact","3223 DUKE ST, SAN DIEGO, CA, 92110","-117.218506,32.75313","195340598","R"
"374603104","1148 KENALAN DR, SAN DIEGO, CA, 92154","Match","Exact","1148 KENALAN DR, SAN DIEGO, CA, 92154","-117.04904,32.57543","195358863","R"
"374602367","1334 VINCA WAY, SAN DIEGO, CA, 92114","No_Match",,,,,
"370804859","7229 ZEST STREET, SAN DIEGO, CA, 92139","Match","Exact","7229 ZEST ST, SAN DIEGO, CA, 92139","-117.03935,32.690678","195361367","R"
"374603731","10393 GOLD COAST PLACE, SAN DIEGO, CA, 92126","Match","Exact","10393 GOLD COAST PL, SAN DIEGO, CA, 92126","-117.13212,32.90652","195319065","R"
"374602751","6655 CRAMPTON COURT, SAN DIEGO, CA, 92119","Match","Exact","6655 CRAMPTON CT, SAN DIEGO, CA, 92119","-117.040634,32.798676","195325263","R"
"374601468","8738 COVINA STREET, SAN DIEGO, CA, 92126","Match","Exact","8738 COVINA ST, SAN DIEGO, CA, 92126","-117.13627,32.904335","195318893","L"
"374602755","5651 DOROTHY WAY, SAN DIEGO, CA, 92115","Match","Exact","5651 DOROTHY WAY, SAN DIEGO, CA, 92115","-117.07366,32.767715","195322970","R"
"374602895","1332 LEAF TERRACE, SAN DIEGO, CA, 92114","Match","Exact","1332 LEAF TER, SAN DIEGO, CA, 92114","-117.06418,32.69616","195353115","R"
"374601302","2493 MELBOURNE DRIVE, SAN DIEGO, CA, 92123","Match","Exact","2493 MELBOURNE DR, SAN DIEGO, CA, 92123","-117.12794,32.790222","195321608","R"
"374601056","13075 EVENING CREEK DR SOUTH, SAN DIEGO, CA, 92128","Match","Non_Exact","13075 EVENING CREEK DR, SAN DIEGO, CA, 92128","-117.09776,32.9531","195657701","R"
"374602372","4469 ROBBINS STREET, SAN DIEGO, CA, 92122","Match","Exact","4469 ROBBINS ST, SAN DIEGO, CA, 92122","-117.19674,32.8564","195304422","R"
"370804842","6897 FREED MANOR LANE, SAN DIEGO, CA, 92114","Match","Exact","6897 FREED MANOR LN, SAN DIEGO, CA, 92114","-117.05021,32.693085","195749615","R"
"374603006","8666 OCTANS ST, SAN DIEGO, CA, 92126","Match","Exact","8666 OCTANS ST, SAN DIEGO, CA, 92126","-117.1372,32.931396","195660996","L"
"374602757","7010 JACKSON DRIVE, SAN DIEGO, CA, 92119","Match","Exact","7010 JACKSON DR, SAN DIEGO, CA, 92119","-117.032104,32.797153","195325304","L"
"374601469","8748 COVINA STREET, SAN DIEGO, CA, 92126","Match","Exact","8748 COVINA ST, SAN DIEGO, CA, 92126","-117.13617,32.90434","195318893","L"
"374600449","6533 PLAZA RIDGE ROAD, SAN DIEGO, CA, 92114","Match","Exact","6533 PLAZA RIDGE RD, SAN DIEGO, CA, 92114","-117.055405,32.689445","195353574","R"
"374602950","15260 AMALIA, SAN DIEGO, CA, 92129","Match","Non_Exact","15260 AMALIA ST, SAN DIEGO, CA, 92129","-117.08841,32.990383","195316153","L"
"374600688","2847 MORNINGSIDE STREE, SAN DIEGO, CA, 92139","Match","Non_Exact","2847 MORNINGSIDE ST, SAN DIEGO, CA, 92139","-117.06361,32.668884","195353743","L"
"374600994","6288 WENRICH DRIVE, SAN DIEGO, CA, 92120","Match","Exact","6288 WENRICH DR, SAN DIEGO, CA, 92120","-117.06903,32.790882","195323383","L"
"374600880","2189 CROWNHILL ROAD, SAN DIEGO, CA, 92109","No_Match",,,,,
"374601472","6325 DENNISON STREET, SAN DIEGO, CA, 92122","Match","Exact","6325 DENNISON ST, SAN DIEGO, CA, 92122","-117.20914,32.85399","195302188","R"
"374602542","6364 GALLEGOS TERRACE, SAN DIEGO, CA, 92114","Match","Exact","6364 GALLEGOS TER, SAN DIEGO, CA, 92114","-117.06068,32.692722","195663845","R"
"374601727","10165 WESTONHILL DR, SAN DIEGO, CA, 92126","Match","Exact","10165 WESTONHILL DR, SAN DIEGO, CA, 92126","-117.135635,32.902733","195318899","R"
"374602862","1903 OLIVE AVENUE, SAN DIEGO, CA, 92139","Match","Exact","1903 OLIVE AVE, SAN DIEGO, CA, 92139","-117.070885,32.68071","195352786","R"
