,facility_number,facility_address,facility_city,facility_state,facility_zip
9,374603617,13101 HARTFIELD AVENUE,SAN DIEGO,CA,92130.0
25,374600488,18655 WEST BERNARDO DRIVE,SAN DIEGO,CA,92127.0
35,374602801,13101 HARTFIELD AVE,SAN DIEGO,CA,92130.0
51,374603600,POMERADO RD,SAN DIEGO,CA,92131.0
112,374600675,8515 COSTA VERDE BLVD,SAN DIEGO,CA,92122.0
310,374603167,3474 ANGWIN DRIVE,SAN DIEGO,CA,92123.0
319,374603886,3125 OCCIDENTAL STREET,SAN DIEGO,CA,92122.0
466,374603162,6207 ACORN STREET,SAN DIEGO,CA,92115.0
467,374603163,6217 ACORN STREET,SAN DIEGO,CA,92115.0
468,374603714,10603 RANCHO BERNARDO ROAD,SAN DIEGO,CA,92127.0
470,374603584,2440 GRAND AVENUE,SAN DIEGO,CA,92109.0
714,374600916,10251 TRAILS END CIRCLE,SAN DIEGO,CA,92126.0
841,374603208,8536 MENKAR ROAD,SAN DIEGO,CA,92126.0
869,374602452,8235 HYDRA LANE,SAN DIEGO,CA,92126.0
870,374603129,10003 KIBLER DRIVE,SAN DIEGO,CA,92126.0
871,374603563,8554 CAPRICORN WAY,SAN DIEGO,CA,92126.0
872,374603755,8554 CAPRICORN WAY,SAN DIEGO,CA,92126.0
873,374603135,8243 HYDRA LANE,SAN DIEGO,CA,92126.0
874,374602745,10163 EMBASSY WAY,SAN DIEGO,CA,92126.0
922,374603442,11178 DEL DIABLO WAY,SAN DIEGO,CA,92129.0
1028,374602158,3511 SPARLING ST,SAN DIEGO,CA,92115.0
1029,374602566,8488 PARKBROOK STREET,SAN DIEGO,CA,92114.0
1030,374601199,3505 SPARLING STREET,SAN DIEGO,CA,92115.0
1091,374603547,8110 TWILIGHT POINT WAY,SAN DIEGO,CA,92127.0
1207,374602633,12979 RANCHO PENASQUITOS BLVD,SAN DIEGO,CA,92129.0
1208,374603560,12979 RANCHO PENASQUITOS BLVD,SAN DIEGO,CA,92129.0
1209,374603560,12979 RANCHO PENASQUITOS BLVD,SAN DIEGO,CA,92129.0
1238,374603284,7141 BULLOCK DRIVE,SAN DIEGO,CA,92114.0
1326,374602996,15206 FALCON CREST COURT,SAN DIEGO,CA,92127.0
1388,374600890,5308 MONROE AVENUE,SAN DIEGO,CA,92115.0
1486,374603501,5874 HONORS DRIVE,SAN DIEGO,CA,92122.0
1499,374601793,3271 INNUIT AVE,SAN DIEGO,CA,92117.0
1516,374603463,9312 TWIN MOUNTAIN CIRCLE,SAN DIEGO,CA,92126.0
1522,374600108,1966 PARADISE STREET,SAN DIEGO,CA,92114.0
1557,374601909,10265 SALUDA AVE,SAN DIEGO,CA,92126.0
1576,374601609,6396 LAKE DECATUR AVENUE,SAN DIEGO,CA,92119.0
1577,374602488,6860 CONDON DRIVE,SAN DIEGO,CA,92122.0
