,location,time,gdp,change
0,AUS,1970-01-01,4656.974483,
1,AUS,1971-01-01,4866.743797,0.04504411925934959
2,AUS,1972-01-01,5216.919124,0.07195269395850623
3,AUS,1973-01-01,5804.481141,0.1126262460725087
4,AUS,1974-01-01,6251.507124,0.07701394356205715
5,AUS,1975-01-01,6934.589535,0.10926683717236707
6,AUS,1976-01-01,7399.748634,0.06707810125635638
7,AUS,1977-01-01,7729.491015,0.04456129489114202
8,AUS,1978-01-01,8553.294648,0.10657928593245147
9,AUS,1979-01-01,9458.501607,0.1058313779955733
10,AUS,1980-01-01,10479.426191,0.10793724274936323
11,AUS,1981-01-01,11836.313282,0.12948104851058817
12,AUS,1982-01-01,11900.466293,0.005420016306729725
13,AUS,1983-01-01,12707.671833,0.06782974045939771
14,AUS,1984-01-01,13485.405952,0.0612019360604148
15,AUS,1985-01-01,14404.791943,0.06817636742063726
16,AUS,1986-01-01,14895.892246,0.034092842502917886
17,AUS,1987-01-01,15949.740528,0.0707475768887218
18,AUS,1988-01-01,16998.781992,0.06577169466540167
19,AUS,1989-01-01,17723.48547,0.04263267087848188
20,AUS,1990-01-01,17726.373181,0.00016293132662226206
21,AUS,1991-01-01,18044.73567,0.01795982098251403
22,AUS,1992-01-01,19045.870194,0.05548069765657049
23,AUS,1993-01-01,20072.17378,0.05388588578763476
24,AUS,1994-01-01,21273.325442,0.059841633256325855
25,AUS,1995-01-01,22330.287844,0.049684869668436216
26,AUS,1996-01-01,23171.149785,0.03765566959433242
27,AUS,1997-01-01,24319.048208,0.04953998544099436
28,AUS,1998-01-01,25511.306101,0.04902568072576918
29,AUS,1999-01-01,26914.943647,0.05502021497617404
30,AUS,2000-01-01,28141.3145,0.04556468217375209
31,AUS,2001-01-01,29298.614156,0.041124577034238996
32,AUS,2002-01-01,30541.441738,0.04241932998545894
33,AUS,2003-01-01,32034.057763,0.048871825953876735
34,AUS,2004-01-01,33620.430835,0.04952145256578433
35,AUS,2005-01-01,35337.512386,0.05107256237812585
36,AUS,2006-01-01,37441.841063,0.05954942877738301
37,AUS,2007-01-01,39187.320539,0.046618420100204006
38,AUS,2008-01-01,39537.854041,0.008945074508249107
39,AUS,2009-01-01,41087.135452,0.039184762263359874
40,AUS,2010-01-01,42238.573038,0.02802428481160879
41,AUS,2011-01-01,43722.110833,0.03512281993204014
42,AUS,2012-01-01,43169.928673,-0.012629357308687528
43,AUS,2013-01-01,47085.69163,0.09070580094446745
44,AUS,2014-01-01,46841.539199,-0.005185278638754065
45,AUS,2015-01-01,47028.48047,0.003990929294739987
46,AUT,1970-01-01,3822.706957,-0.9187150654497853
47,AUT,1971-01-01,4203.059278,0.0994981632854468
48,AUT,1972-01-01,4630.689282,0.10174255838796675
49,AUT,1973-01-01,5092.970374,0.099829866321832
50,AUT,1974-01-01,5759.502209,0.13087290638930393
51,AUT,1975-01-01,6286.660965,0.09152852744395923
